id;date;excercise;meals;alcohol;notes;user_id
1;2019-07-09;79654;95071;18343;multi-byte Savings Account Dam;1
2;2019-07-10;45924;86617;33370;Metal deposit;1
3;2019-07-09;72199;83244;93855;Electronics;2
4;2019-07-09;61748;30424;61165;Grocery Home;2
5;2019-07-09;39986;13949;4666;Coordinator;1
6;2019-07-09;9060;78517;61838;syndicate;2
7;2019-07-09;46676;4645;85994;Yuan Renminbi Centers;1
8;2019-07-09;94220;96563;56328;envisioneer Music Public-key;1
9;2019-07-09;68326;12203;60999;backing up Salad;1
10;2019-07-09;18223;66252;75536;convergence;1
